model,year,fuelType,transmission,mileage,hp,engineSize,price
520i Executive M Sport,2016,Benzin,Yarı Otomatik,136000,170,1592,808000
318is,1998,Benzin,Manuel,136000,140,1796,240000
320d Sport Line,2012,Dizel,Yarı Otomatik,305000,184,1995,465000
320d Premium,2010,Dizel,Otomatik,165000,177,1995,397500
320d Premium,2007,Dizel,Yarı Otomatik,245000,163,1900,292500
320i ED Sport Line,2015,Benzin,Yarı Otomatik,124000,170,1598,560900
318i Edition M Sport,2017,Benzin,Otomatik,124000,136,1499,759000
316i M Sport,2014,Benzin,Yarı Otomatik,126000,136,1598,575000
316i M Sport,2014,Benzin,Yarı Otomatik,219000,136,1598,430000
320d M Sport,2012,Dizel,Otomatik,235555,188,1900,535000
320i,2012,Benzin,Otomatik,88000,184,1997,532900
320d M Sport,2011,Dizel,Otomatik,155000,184,1995,352000
320d Premium,2010,Dizel,Otomatik,262000,177,1995,340500
320i ED Sport Line,2016,Benzin,Yarı Otomatik,87500,170,1598,850000
320d xDrive Techno Plus,2013,Dizel,Yarı Otomatik,172000,184,1995,520000
320d Premium,2010,Dizel,Otomatik,245000,177,1995,355000
320d Edition Comfort,2012,Dizel,Otomatik,216000,184,1995,421000
320d Edition M Sport,2018,Dizel,Otomatik,68000,190,1995,915000
318i Edition Sport Line,2017,Benzin,Otomatik,115000,136,1499,665000
320d Premium,2010,Dizel,Otomatik,260000,177,1995,286500
320i ED Modern Line,2014,Benzin,Otomatik,124000,170,1598,545000
320d M Sport,2012,Dizel,Yarı Otomatik,168000,184,1995,555000
330i xDrive Edition M Sport,2018,Benzin,Otomatik,86000,252,1998,1250000
320i ED Techno Plus,2013,Benzin,Otomatik,214000,170,1598,432000
318is,1997,Benzin & LPG,Manuel,340000,140,1796,120000
320d xDrive 40th Year Edition,2017,Dizel,Otomatik,121000,190,1995,849900
320d M Sport,2011,Dizel,Yarı Otomatik,267000,184,1995,435000
320d M Sport,2008,Dizel,Otomatik,262000,177,1995,408000
320d Premium Line,2018,Dizel,Otomatik,91500,190,1995,775000
320d Premium Line,2018,Dizel,Otomatik,36865,190,1995,819000
316i M Sport,2014,Benzin,Yarı Otomatik,189000,136,1598,477400
318i M Joy,2016,Benzin,Yarı Otomatik,109500,136,1499,619900
320i First Edition M Sport,2019,Benzin,Otomatik,22000,170,1597,1165000
316ti Compact,2003,Benzin,Manuel,330000,115,1596,105000
320d M Sport,2009,Dizel,Otomatik,155000,177,1995,665000
320i ED 40th Year Edition,2016,Benzin,Yarı Otomatik,110000,170,1598,750000
320i First Edition M Sport,2020,Benzin,Otomatik,68000,170,1597,1200000
316i Standart,1995,Benzin & LPG,Manuel,320000,102,1596,100000
320d Standart,2012,Dizel,Otomatik,256000,184,1995,340000
320d M Sport,2011,Dizel,Otomatik,230000,184,1995,372000
320i First Edition M Sport,2020,Benzin,Otomatik,9000,170,1597,1050000
316i Comfort,2012,Benzin,Otomatik,135000,163,1700,430000
320d M Sport,2011,Dizel,Yarı Otomatik,210000,184,1995,615000
318is,1994,Benzin & LPG,Otomatik,192000,140,1796,102500
316i M Sport,2015,Benzin,Yarı Otomatik,205000,136,1598,555000
320d Modern Line,2013,Dizel,Yarı Otomatik,200000,184,1995,487500
320d M Sport,2013,Dizel,Yarı Otomatik,340000,184,1995,440000
320d GT Gran Turismo,2013,Dizel,Otomatik,163000,184,1995,519000
320i First Edition Sport Line,2019,Benzin,Otomatik,21000,170,1597,1044900
318i Edition Luxury Line,2017,Benzin,Otomatik,162000,136,1499,715000
316i M Sport,2012,Benzin,Yarı Otomatik,164000,136,1598,415000
320d M Sport,2009,Dizel,Otomatik,230000,177,1995,585000
325i Standart,1989,Benzin & LPG,Manuel,111111,188,2250,67500
320i,2001,Benzin & LPG,Otomatik,306000,170,2171,225000
320d Standart,2014,Dizel,Otomatik,90000,184,1995,665000
320i ED Techno Plus,2014,Benzin,Otomatik,154000,170,1598,447500
320i,1994,Benzin & LPG,Manuel,244000,150,1991,155555
320d M Sport,2015,Dizel,Yarı Otomatik,168000,190,1995,710000
320d Premium,2006,Dizel,Otomatik,263000,163,1995,209999
320i,1997,Benzin & LPG,Manuel,209000,150,1991,155000
320i,1999,Benzin & LPG,Otomatik,315000,150,1991,159500
320i ED Luxury Line,2015,Benzin,Otomatik,124000,170,1598,610000
318i Standart,1994,Benzin & LPG,Manuel,325000,115,1796,107000
320d M Sport,2009,Dizel,Otomatik,295000,177,1995,335000
320d xDrive Modern Line,2014,Dizel,Otomatik,273000,184,1995,530000
320d Standart,2014,Dizel,Otomatik,242000,184,1995,472000
320i ED Standart,2013,Benzin,Otomatik,198000,170,1598,485750
320i ED 40th Year Edition,2016,Benzin,Yarı Otomatik,78000,170,1598,805000
320i ED Modern Line,2013,Benzin,Otomatik,168000,170,1598,469000
318i Standart,1998,Benzin & LPG,Manuel,302000,118,1895,168000
320i Premium,2006,Benzin & LPG,Otomatik,365000,150,1995,242000
320d M Sport,2013,Dizel,Yarı Otomatik,240000,184,1995,485000
320d Standart,2013,Dizel,Otomatik,185000,184,1995,510000
318i Standart,2001,Benzin & LPG,Otomatik,392000,143,1995,160000
320d M Sport,2013,Dizel,Yarı Otomatik,195000,184,1995,599000
316i Standart,1990,Benzin,Manuel,200000,99,1596,85000
318i Standart,2002,Benzin & LPG,Otomatik,296000,143,1995,136000
320d Premium Line,2018,Dizel,Otomatik,33000,190,1995,855000
318i Standart,1990,Benzin & LPG,Manuel,352000,113,1796,95000
320d Standart,2010,Dizel,Otomatik,258000,184,1995,258000
316i Standart,1993,Benzin & LPG,Manuel,381000,102,1596,81950
320i,2008,Benzin,Otomatik,189000,170,1995,409000
318i Premium Line,2018,Benzin,Otomatik,43000,136,1499,719000
325xi Standart,2001,Benzin,Otomatik,359000,192,2494,189500
316i M Sport,2014,Benzin,Yarı Otomatik,112000,136,1598,440000
318i M Joy Plus,2015,Benzin,Yarı Otomatik,181000,136,1499,557000
320d Premium,2007,Dizel,Otomatik,383000,163,1995,239900
316i M Sport,2013,Benzin,Yarı Otomatik,215000,113,2350,470000
320i Executive M Sport,2020,Benzin,Otomatik,19000,163,1450,1190000
320i,2000,Benzin,Otomatik,229000,170,1991,159500
328i Touring,1995,Benzin & LPG,Manuel,291300,193,2793,184000
320d Premium,2011,Dizel,Otomatik,253000,177,1995,326500
320i ED Standart,2013,Benzin,Otomatik,153967,170,1598,500000
320d M Sport,2012,Dizel,Yarı Otomatik,250000,184,1995,650000
320i First Edition M Sport,2021,Benzin,Otomatik,18000,170,1597,1095000
318i Edition M Sport,2017,Benzin,Otomatik,64000,136,1499,716500
320i ED Techno Plus,2013,Benzin,Otomatik,108800,170,1598,537000
320d Modern Line,2013,Dizel,Yarı Otomatik,228000,184,1995,490000
320i ED M Plus,2016,Benzin,Yarı Otomatik,94850,170,1598,635000
318d Premium,2009,Dizel,Yarı Otomatik,209000,143,1995,365950
320d Premium,2005,Dizel,Otomatik,338000,163,1995,185000
316i Comfort,2012,Benzin,Otomatik,165000,136,1598,425000
318i Edition M Sport,2017,Benzin,Otomatik,77000,136,1499,685000
320d Comfort,2012,Dizel,Otomatik,252000,188,1900,399000
320i First Edition Luxury Line,2020,Benzin,Otomatik,14986,163,1450,1145000
320i ED M Sport,2015,Benzin,Otomatik,125000,163,1450,510000
320d Sport Line,2017,Dizel,Yarı Otomatik,145000,190,1995,732500
320i ED 40th Year Edition,2015,Benzin,Yarı Otomatik,130000,170,1598,645000
320i ED Sport Line,2015,Benzin,Yarı Otomatik,125000,170,1598,555000
320i ED Standart,2013,Benzin,Otomatik,224,170,1598,430000
320i ED Sport Line,2014,Benzin,Yarı Otomatik,178000,170,1598,429000
320si,2006,Benzin,Manuel,219000,173,1997,270000
316i Premium,2007,Benzin & LPG,Manuel,190000,122,1597,232000
320i First Edition Sport Line,2020,Benzin,Otomatik,23900,170,1597,1099000
320d Comfort,2013,Dizel,Otomatik,209000,188,2250,422500
316i Standart,1993,Benzin & LPG,Manuel,345000,102,1596,81750
320d Premium,2008,Dizel,Otomatik,126774,177,1995,365500
316ti Compact,2004,Benzin & LPG,Manuel,295000,115,1596,117000
318i Standart,2002,Benzin & LPG,Otomatik,260000,143,1995,212500
320i ED Sport Line,2016,Benzin,Yarı Otomatik,120000,170,1598,640000
316i Comfort,2013,Benzin,Otomatik,182000,136,1598,480000
320i,1999,Benzin,Manuel,248000,150,1991,160000
316i Standart,2006,Benzin & LPG,Manuel,208000,115,1596,223250
320d Comfort,2011,Dizel,Yarı Otomatik,260000,184,1995,345000
316i Modern Line,2012,Benzin,Yarı Otomatik,129000,136,1598,469000
316i Compact,1999,Benzin & LPG,Otomatik,329000,102,1596,112000
320d M Sport,2012,Dizel,Otomatik,340000,184,1995,363900
320i,2000,Benzin & LPG,Otomatik,387,150,1991,163000
320d Premium,2006,Dizel,Otomatik,291000,163,1995,259000
320d xDrive Comfort,2011,Dizel,Otomatik,182000,184,1995,405000
320i ED Modern Line,2013,Benzin,Otomatik,180000,170,1598,435000
316i Compact,2000,Benzin & LPG,Manuel,296000,102,1596,96500
320i ED Sport Line,2016,Benzin,Yarı Otomatik,141000,170,1598,579900
320i ED Sport Line,2014,Benzin,Yarı Otomatik,104000,170,1598,615000
320d Techno Plus,2014,Dizel,Yarı Otomatik,160000,184,1995,568000
320d Premium,2017,Dizel,Yarı Otomatik,95000,190,1995,846250
320i ED Sport Line,2014,Benzin,Yarı Otomatik,144000,170,1598,558000
320i First Edition M Sport,2022,Benzin,Otomatik,0,170,1597,1395000
316i Standart,1998,Benzin & LPG,Manuel,316888,102,1596,96000
316i M Sport,2014,Benzin,Yarı Otomatik,35000,138,1450,749999
