520i Executive M Sport,2016,Benzin,Yarı Otomatik,136.000,170 hp,1592 cc,808000
318is,1998,Benzin,Manuel,136.000,140 hp,1796 cc,240000
320d Sport Line,2012,Dizel,Yarı Otomatik,305.000,184 hp,1995 cc,465000
320d Premium,2010,Dizel,Otomatik,165.000,177 hp,1995 cc,397500
320d Premium,2007,Dizel,Yarı Otomatik,245.000,163 hp,1900 cc,292500
320i ED Sport Line,2015,Benzin,Yarı Otomatik,124.000,170 hp,1598 cc,560900
318i Edition M Sport,2017,Benzin,Otomatik,124.000,136 hp,1499 cc,759000
316i M Sport,2014,Benzin,Yarı Otomatik,126.000,136 hp,1598 cc,575000
316i M Sport,2014,Benzin,Yarı Otomatik,219.000,136 hp,1598 cc,430000
320d M Sport,2012,Dizel,Otomatik,235.555,188 hp,1900 cc,535000
320i,2012,Benzin,Otomatik,88.000,184 hp,1997 cc,532900
320d M Sport,2011,Dizel,Otomatik,155.000,184 hp,1995 cc,352000
320d Premium,2010,Dizel,Otomatik,262.000,177 hp,1995 cc,340500
320i ED Sport Line,2016,Benzin,Yarı Otomatik,87.500,170 hp,1598 cc,850000
320d xDrive Techno Plus,2013,Dizel,Yarı Otomatik,172.000,184 hp,1995 cc,520000
320d Premium,2010,Dizel,Otomatik,245.000,177 hp,1995 cc,355000
320d Edition Comfort,2012,Dizel,Otomatik,216.000,184 hp,1995 cc,421000
320d Edition M Sport,2018,Dizel,Otomatik,68.000,190 hp,1995 cc,915000
318i Edition Sport Line,2017,Benzin,Otomatik,115.000,136 hp,1499 cc,665000
320d Premium,2010,Dizel,Otomatik,260.000,177 hp,1995 cc,286500
320i ED Modern Line,2014,Benzin,Otomatik,124.000,170 hp,1598 cc,545000
320d M Sport,2012,Dizel,Yarı Otomatik,168.000,184 hp,1995 cc,555000
330i xDrive Edition M Sport,2018,Benzin,Otomatik,86.000,252 hp,1998 cc,1250000
320i ED Techno Plus,2013,Benzin,Otomatik,214.000,170 hp,1598 cc,432000
318is,1997,Benzin & LPG,Manuel,340.000,140 hp,1796 cc,120000
320d xDrive 40th Year Edition,2017,Dizel,Otomatik,121.000,190 hp,1995 cc,849900
320d M Sport,2011,Dizel,Yarı Otomatik,267.000,184 hp,1995 cc,435000
320d M Sport,2008,Dizel,Otomatik,262.000,177 hp,1995 cc,408000
320d Premium Line,2018,Dizel,Otomatik,91.500,190 hp,1995 cc,775000
320d Premium Line,2018,Dizel,Otomatik,36.865,190 hp,1995 cc,819000
316i M Sport,2014,Benzin,Yarı Otomatik,189.000,136 hp,1598 cc,477400
318i M Joy,2016,Benzin,Yarı Otomatik,109.500,136 hp,1499 cc,619900
320i First Edition M Sport,2019,Benzin,Otomatik,22.000,170 hp,1597 cc,1165000
316ti Compact,2003,Benzin,Manuel,330.000,115 hp,1596 cc,105000
320d M Sport,2009,Dizel,Otomatik,155.000,177 hp,1995 cc,665000
320i ED 40th Year Edition,2016,Benzin,Yarı Otomatik,110.000,170 hp,1598 cc,750000
320i First Edition M Sport,2020,Benzin,Otomatik,68.000,170 hp,1597 cc,1200000
316i Standart,1995,Benzin & LPG,Manuel,320.000,102 hp,1596 cc,100000
320d Standart,2012,Dizel,Otomatik,256.000,184 hp,1995 cc,340000
320d M Sport,2011,Dizel,Otomatik,230.000,184 hp,1995 cc,372000
320i First Edition M Sport,2020,Benzin,Otomatik,9.000,170 hp,1597 cc,1050000
316i Comfort,2012,Benzin,Otomatik,135.000,163 hp,1700 cc,430000
320d M Sport,2011,Dizel,Yarı Otomatik,210.000,184 hp,1995 cc,615000
318is,1994,Benzin & LPG,Otomatik,192.000,140 hp,1796 cc,102500
316i M Sport,2015,Benzin,Yarı Otomatik,205.000,136 hp,1598 cc,555000
320d Modern Line,2013,Dizel,Yarı Otomatik,200.000,184 hp,1995 cc,487500
320d M Sport,2013,Dizel,Yarı Otomatik,340.000,184 hp,1995 cc,440000
320d GT Gran Turismo,2013,Dizel,Otomatik,163.000,184 hp,1995 cc,519000
320i First Edition Sport Line,2019,Benzin,Otomatik,21.000,170 hp,1597 cc,1044900
318i Edition Luxury Line,2017,Benzin,Otomatik,162.000,136 hp,1499 cc,715000
316i M Sport,2012,Benzin,Yarı Otomatik,164.000,136 hp,1598 cc,415000
