520i Executive M Sport,2016,Benzin,Yarı Otomatik,136000,163,1592 cc,808000
318is,1998,Benzin,Manuel,136000,163,1796 cc,240000
320d Sport Line,2012,Dizel,Yarı Otomatik,305000,163,1995 cc,465000
320d Premium,2010,Dizel,Otomatik,165000,163,1995 cc,397500
320d Premium,2007,Dizel,Yarı Otomatik,245000,163,1900 cc,292500
320i ED Sport Line,2015,Benzin,Yarı Otomatik,124000,163,1598 cc,560900
318i Edition M Sport,2017,Benzin,Otomatik,124000,163,1499 cc,759000
316i M Sport,2014,Benzin,Yarı Otomatik,126000,163,1598 cc,575000
316i M Sport,2014,Benzin,Yarı Otomatik,219000,163,1598 cc,430000
320d M Sport,2012,Dizel,Otomatik,235555,163,1900 cc,535000
320i,2012,Benzin,Otomatik,88000,163,1997 cc,532900
320d M Sport,2011,Dizel,Otomatik,155000,163,1995 cc,352000
320d Premium,2010,Dizel,Otomatik,262000,163,1995 cc,340500
320i ED Sport Line,2016,Benzin,Yarı Otomatik,87500,163,1598 cc,850000
320d xDrive Techno Plus,2013,Dizel,Yarı Otomatik,172000,163,1995 cc,520000
320d Premium,2010,Dizel,Otomatik,245000,163,1995 cc,355000
320d Edition Comfort,2012,Dizel,Otomatik,216000,163,1995 cc,421000
320d Edition M Sport,2018,Dizel,Otomatik,68000,163,1995 cc,915000
318i Edition Sport Line,2017,Benzin,Otomatik,115000,163,1499 cc,665000
320d Premium,2010,Dizel,Otomatik,260000,163,1995 cc,286500
320i ED Modern Line,2014,Benzin,Otomatik,124000,163,1598 cc,545000
320d M Sport,2012,Dizel,Yarı Otomatik,168000,163,1995 cc,555000
330i xDrive Edition M Sport,2018,Benzin,Otomatik,86000,163,1998 cc,1250000
320i ED Techno Plus,2013,Benzin,Otomatik,214000,163,1598 cc,432000
318is,1997,Benzin & LPG,Manuel,340000,163,1796 cc,120000
320d xDrive 40th Year Edition,2017,Dizel,Otomatik,121000,163,1995 cc,849900
320d M Sport,2011,Dizel,Yarı Otomatik,267000,163,1995 cc,435000
320d M Sport,2008,Dizel,Otomatik,262000,163,1995 cc,408000
320d Premium Line,2018,Dizel,Otomatik,91500,163,1995 cc,775000
320d Premium Line,2018,Dizel,Otomatik,36865,163,1995 cc,819000
316i M Sport,2014,Benzin,Yarı Otomatik,189000,163,1598 cc,477400
318i M Joy,2016,Benzin,Yarı Otomatik,109500,163,1499 cc,619900
320i First Edition M Sport,2019,Benzin,Otomatik,22000,163,1597 cc,1165000
316ti Compact,2003,Benzin,Manuel,330000,163,1596 cc,105000
320d M Sport,2009,Dizel,Otomatik,155000,163,1995 cc,665000
320i ED 40th Year Edition,2016,Benzin,Yarı Otomatik,110000,163,1598 cc,750000
320i First Edition M Sport,2020,Benzin,Otomatik,68000,163,1597 cc,1200000
316i Standart,1995,Benzin & LPG,Manuel,320000,163,1596 cc,100000
320d Standart,2012,Dizel,Otomatik,256000,163,1995 cc,340000
320d M Sport,2011,Dizel,Otomatik,230000,163,1995 cc,372000
320i First Edition M Sport,2020,Benzin,Otomatik,9000,163,1597 cc,1050000
316i Comfort,2012,Benzin,Otomatik,135000,163,1700 cc,430000
320d M Sport,2011,Dizel,Yarı Otomatik,210000,163,1995 cc,615000
318is,1994,Benzin & LPG,Otomatik,192000,163,1796 cc,102500
316i M Sport,2015,Benzin,Yarı Otomatik,205000,163,1598 cc,555000
320d Modern Line,2013,Dizel,Yarı Otomatik,200000,163,1995 cc,487500
320d M Sport,2013,Dizel,Yarı Otomatik,340000,163,1995 cc,440000
320d GT Gran Turismo,2013,Dizel,Otomatik,163000,163,1995 cc,519000
320i First Edition Sport Line,2019,Benzin,Otomatik,21000,163,1597 cc,1044900
318i Edition Luxury Line,2017,Benzin,Otomatik,162000,163,1499 cc,715000
316i M Sport,2012,Benzin,Yarı Otomatik,164000,163,1598 cc,415000
320d M Sport,2009,Dizel,Otomatik,230000,163,1995 cc,585000
325i Standart,1989,Benzin & LPG,Manuel,111111,163,2001 - 2500 cm3,67500
320i,2001,Benzin & LPG,Otomatik,306000,163,2171 cc,225000
320d Standart,2014,Dizel,Otomatik,90000,163,1995 cc,665000
320i ED Techno Plus,2014,Benzin,Otomatik,154000,163,1598 cc,447500
320i,1994,Benzin & LPG,Manuel,244000,163,1991 cc,155555
320d M Sport,2015,Dizel,Yarı Otomatik,168000,163,1995 cc,710000
320d Premium,2006,Dizel,Otomatik,263000,163,1995 cc,209999
320i,1997,Benzin & LPG,Manuel,209000,163,1991 cc,155000
320i,1999,Benzin & LPG,Otomatik,315000,163,1991 cc,159500
320i ED Luxury Line,2015,Benzin,Otomatik,124000,163,1598 cc,610000
318i Standart,1994,Benzin & LPG,Manuel,325000,163,1796 cc,107000
320d M Sport,2009,Dizel,Otomatik,295000,163,1995 cc,335000
320d xDrive Modern Line,2014,Dizel,Otomatik,273000,163,1995 cc,530000
320d Standart,2014,Dizel,Otomatik,242000,163,1995 cc,472000
320i ED Standart,2013,Benzin,Otomatik,198000,163,1598 cc,485750
320i ED 40th Year Edition,2016,Benzin,Yarı Otomatik,78000,163,1598 cc,805000
320i ED Modern Line,2013,Benzin,Otomatik,168000,163,1598 cc,469000
318i Standart,1998,Benzin & LPG,Manuel,302000,163,1895 cc,168000
320i Premium,2006,Benzin & LPG,Otomatik,365000,163,1995 cc,242000
320d M Sport,2013,Dizel,Yarı Otomatik,240000,163,1995 cc,485000
320d Standart,2013,Dizel,Otomatik,185000,163,1995 cc,510000
318i Standart,2001,Benzin & LPG,Otomatik,392000,163,1995 cc,160000
320d M Sport,2013,Dizel,Yarı Otomatik,195000,163,1995 cc,599000
316i Standart,1990,Benzin,Manuel,200000,163,1596 cc,85000
318i Standart,2002,Benzin & LPG,Otomatik,296000,163,1995 cc,136000
320d Premium Line,2018,Dizel,Otomatik,33000,163,1995 cc,855000
318i Standart,1990,Benzin & LPG,Manuel,352000,163,1796 cc,95000
